Model has been successfully loaded from models/lrw_resnet18_mstcn_adamw_s3.pth.tar
----------
Epoch 0/79
Current learning rate: 0.0003
[  202/10493 (2%)]	Loss: 0.9401	Acc:0.8087	Cost time:0.175 (0.221)s	Data time:0.021 (0.068)	Instances per second: 9.04
[  302/10493 (3%)]	Loss: 0.9283	Acc:0.8155	Cost time:0.175 (0.206)s	Data time:0.021 (0.052)	Instances per second: 9.72
[  402/10493 (4%)]	Loss: 0.9198	Acc:0.8220	Cost time:0.176 (0.198)s	Data time:0.022 (0.045)	Instances per second: 10.08
[  502/10493 (5%)]	Loss: 0.9631	Acc:0.8194	Cost time:0.176 (0.194)s	Data time:0.022 (0.040)	Instances per second: 10.30
[  602/10493 (6%)]	Loss: 0.9896	Acc:0.8162	Cost time:0.176 (0.191)s	Data time:0.022 (0.037)	Instances per second: 10.46
[  702/10493 (7%)]	Loss: 1.0118	Acc:0.8104	Cost time:0.198 (0.190)s	Data time:0.022 (0.035)	Instances per second: 10.54
[  802/10493 (8%)]	Loss: 0.9839	Acc:0.8163	Cost time:0.182 (0.188)s	Data time:0.016 (0.033)	Instances per second: 10.61
[  902/10493 (9%)]	Loss: 0.9794	Acc:0.8193	Cost time:0.180 (0.187)s	Data time:0.022 (0.032)	Instances per second: 10.67
[ 1002/10493 (10%)]	Loss: 0.9992	Acc:0.8176	Cost time:0.189 (0.187)s	Data time:0.023 (0.031)	Instances per second: 10.69
[ 1102/10493 (10%)]	Loss: 0.9667	Acc:0.8281	Cost time:0.177 (0.187)s	Data time:0.022 (0.031)	Instances per second: 10.68
[ 1202/10493 (11%)]	Loss: 0.9779	Acc:0.8246	Cost time:0.190 (0.187)s	Data time:0.024 (0.030)	Instances per second: 10.70
[ 1302/10493 (12%)]	Loss: 0.9805	Acc:0.8194	Cost time:0.190 (0.187)s	Data time:0.024 (0.029)	Instances per second: 10.68
[ 1402/10493 (13%)]	Loss: 0.9922	Acc:0.8192	Cost time:0.191 (0.187)s	Data time:0.024 (0.029)	Instances per second: 10.67
[ 1502/10493 (14%)]	Loss: 0.9771	Acc:0.8231	Cost time:0.190 (0.188)s	Data time:0.024 (0.029)	Instances per second: 10.66
[ 1602/10493 (15%)]	Loss: 0.9805	Acc:0.8234	Cost time:0.190 (0.188)s	Data time:0.024 (0.028)	Instances per second: 10.65
[ 1702/10493 (16%)]	Loss: 0.9896	Acc:0.8218	Cost time:0.190 (0.188)s	Data time:0.023 (0.028)	Instances per second: 10.66
[ 1802/10493 (17%)]	Loss: 0.9800	Acc:0.8230	Cost time:0.190 (0.188)s	Data time:0.024 (0.028)	Instances per second: 10.65
[ 1902/10493 (18%)]	Loss: 0.9832	Acc:0.8218	Cost time:0.177 (0.187)s	Data time:0.022 (0.028)	Instances per second: 10.67
[ 2002/10493 (19%)]	Loss: 0.9844	Acc:0.8226	Cost time:0.191 (0.187)s	Data time:0.024 (0.027)	Instances per second: 10.69
[ 2102/10493 (20%)]	Loss: 0.9822	Acc:0.8220	Cost time:0.188 (0.187)s	Data time:0.023 (0.027)	Instances per second: 10.70
[ 2202/10493 (21%)]	Loss: 0.9924	Acc:0.8203	Cost time:0.177 (0.187)s	Data time:0.022 (0.027)	Instances per second: 10.71
[ 2302/10493 (22%)]	Loss: 0.9901	Acc:0.8205	Cost time:0.177 (0.186)s	Data time:0.022 (0.027)	Instances per second: 10.73
[ 2402/10493 (23%)]	Loss: 0.9839	Acc:0.8229	Cost time:0.177 (0.186)s	Data time:0.022 (0.027)	Instances per second: 10.75
[ 2502/10493 (24%)]	Loss: 0.9877	Acc:0.8234	Cost time:0.180 (0.186)s	Data time:0.022 (0.026)	Instances per second: 10.76
[ 2602/10493 (25%)]	Loss: 0.9935	Acc:0.8216	Cost time:0.181 (0.186)s	Data time:0.023 (0.026)	Instances per second: 10.77
[ 2702/10493 (26%)]	Loss: 0.9986	Acc:0.8203	Cost time:0.177 (0.185)s	Data time:0.022 (0.026)	Instances per second: 10.79
[ 2802/10493 (27%)]	Loss: 0.9925	Acc:0.8214	Cost time:0.181 (0.185)s	Data time:0.023 (0.026)	Instances per second: 10.80
[ 2902/10493 (28%)]	Loss: 0.9986	Acc:0.8212	Cost time:0.178 (0.185)s	Data time:0.022 (0.026)	Instances per second: 10.82
[ 3002/10493 (29%)]	Loss: 0.9967	Acc:0.8217	Cost time:0.177 (0.185)s	Data time:0.022 (0.026)	Instances per second: 10.83
[ 3102/10493 (30%)]	Loss: 0.9930	Acc:0.8223	Cost time:0.177 (0.184)s	Data time:0.022 (0.026)	Instances per second: 10.85
[ 3202/10493 (30%)]	Loss: 0.9937	Acc:0.8230	Cost time:0.177 (0.184)s	Data time:0.022 (0.025)	Instances per second: 10.86
[ 3302/10493 (31%)]	Loss: 0.9968	Acc:0.8216	Cost time:0.177 (0.184)s	Data time:0.022 (0.025)	Instances per second: 10.88
[ 3402/10493 (32%)]	Loss: 0.9905	Acc:0.8231	Cost time:0.177 (0.184)s	Data time:0.022 (0.025)	Instances per second: 10.89
[ 3502/10493 (33%)]	Loss: 0.9883	Acc:0.8236	Cost time:0.177 (0.183)s	Data time:0.022 (0.025)	Instances per second: 10.90
[ 3602/10493 (34%)]	Loss: 0.9851	Acc:0.8242	Cost time:0.177 (0.183)s	Data time:0.022 (0.025)	Instances per second: 10.91
[ 3702/10493 (35%)]	Loss: 0.9795	Acc:0.8257	Cost time:0.177 (0.183)s	Data time:0.022 (0.025)	Instances per second: 10.92
[ 3802/10493 (36%)]	Loss: 0.9771	Acc:0.8257	Cost time:0.177 (0.183)s	Data time:0.022 (0.025)	Instances per second: 10.93
[ 3902/10493 (37%)]	Loss: 0.9722	Acc:0.8262	Cost time:0.178 (0.183)s	Data time:0.022 (0.025)	Instances per second: 10.94
[ 4002/10493 (38%)]	Loss: 0.9646	Acc:0.8274	Cost time:0.177 (0.183)s	Data time:0.022 (0.025)	Instances per second: 10.95
[ 4102/10493 (39%)]	Loss: 0.9605	Acc:0.8280	Cost time:0.176 (0.183)s	Data time:0.022 (0.025)	Instances per second: 10.96
